epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
124,8117.19,0.24794,0.1214,0.00222,0.99345,0.99587,0.9947,0.99226,0.10016,0.05012,0.00081,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
125,8181.28,0.24326,0.11974,0.00219,0.99315,0.99558,0.9947,0.99226,0.1001,0.04976,0.00081,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
126,8245.41,0.24694,0.12046,0.00223,0.99402,0.99551,0.9947,0.9923,0.10015,0.04988,0.00081,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875
127,8309.43,0.24405,0.11865,0.00224,0.99338,0.9951,0.9947,0.99233,0.10003,0.05185,0.00081,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
128,8373.26,0.24361,0.11888,0.00217,0.99408,0.99567,0.99471,0.99237,0.09997,0.05112,0.00081,0.017427,0.005809,0.017427,0.005809,0.017427,0.005809,0.017427,0.005809
129,8437.36,0.24675,0.1206,0.00219,0.9939,0.99398,0.99471,0.99242,0.09994,0.04999,0.00081,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776
130,8502.33,0.24367,0.11625,0.00221,0.99363,0.99534,0.99471,0.99239,0.09986,0.0506,0.00081,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
131,8566.58,0.24025,0.11722,0.00218,0.99278,0.99521,0.9947,0.99243,0.09984,0.04968,0.00081,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
132,8631.19,0.24282,0.11941,0.00221,0.99289,0.99501,0.9947,0.99241,0.09974,0.04974,0.00081,0.017031,0.005677,0.017031,0.005677,0.017031,0.005677,0.017031,0.005677
133,8695.09,0.241,0.11757,0.00216,0.99362,0.99534,0.99473,0.99246,0.09963,0.049,0.00081,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
